iter	Passed	Remaining
0	4	4782
1	9	4900
2	14	4755
3	18	4598
4	23	4607
5	30	5036
6	36	5145
7	40	5053
8	44	4908
9	48	4815
10	52	4700
11	55	4608
12	59	4550
13	63	4454
14	66	4339
15	69	4279
16	72	4213
17	75	4126
18	78	4042
19	80	3959
20	83	3892
21	85	3822
22	88	3768
23	92	3777
24	96	3747
25	98	3704
26	101	3663
27	104	3617
28	107	3590
29	109	3556
30	113	3534
31	115	3502
32	118	3473
33	121	3455
34	137	3803
35	141	3801
36	145	3797
37	149	3785
38	153	3774
39	156	3759
40	159	3734
41	162	3706
42	165	3674
43	167	3644
44	170	3609
45	172	3577
46	174	3543
47	177	3512
48	179	3481
49	181	3454
50	184	3429
51	186	3400
52	188	3375
53	191	3348
54	193	3325
55	195	3301
56	198	3277
57	200	3254
58	204	3258
59	206	3237
60	209	3217
61	211	3193
62	213	3173
63	215	3155
64	218	3137
65	220	3119
66	222	3102
67	224	3081
68	226	3061
69	229	3045
70	231	3027
71	233	3009
72	236	3003
73	238	2985
74	240	2971
75	243	2958
76	245	2943
77	247	2927
78	249	2912
79	252	2898
80	254	2893
81	257	2881
82	259	2866
83	261	2853
84	263	2835
85	265	2821
86	267	2807
87	269	2795
88	272	2785
89	274	2774
90	276	2766
91	278	2752
92	280	2739
93	283	2729
94	285	2719
95	287	2709
96	290	2700
97	293	2699
98	295	2690
99	298	2682
100	300	2671
101	302	2662
102	304	2652
103	306	2641
104	308	2630
105	310	2622
106	314	2621
107	317	2618
108	319	2611
109	321	2603
110	324	2597
111	326	2588
112	328	2579
113	332	2583
114	335	2579
115	337	2571
116	339	2562
117	341	2554
118	344	2547
119	346	2541
120	348	2535
121	351	2528
122	353	2520
123	355	2512
124	358	2507
125	360	2497
126	363	2497
127	366	2498
128	367	2484
129	370	2477
130	372	2469
131	374	2461
132	377	2459
133	380	2455
134	382	2450
135	384	2445
136	387	2438
137	389	2430
138	392	2430
139	394	2424
140	397	2422
141	399	2415
142	402	2410
143	404	2405
144	406	2398
145	408	2392
146	411	2386
147	413	2380
148	416	2377
149	418	2372
150	420	2366
151	423	2360
152	425	2354
153	427	2348
154	429	2341
155	431	2336
156	434	2331
157	436	2324
158	438	2320
159	440	2314
160	442	2307
161	444	2300
162	448	2301
163	450	2296
164	452	2291
165	455	2286
166	457	2282
167	460	2278
168	463	2277
169	465	2272
170	468	2271
171	470	2267
172	473	2262
173	476	2260
174	478	2254
175	480	2249
176	482	2245
177	485	2240
178	487	2235
179	490	2235
180	493	2230
181	495	2226
182	497	2221
183	500	2217
184	502	2212
185	504	2208
186	507	2204
187	509	2199
188	511	2194
189	513	2189
190	516	2185
191	518	2180
192	520	2177
193	523	2174
194	525	2169
195	528	2166
196	530	2160
197	532	2156
198	535	2153
199	537	2149
200	539	2145
201	541	2140
202	544	2136
203	546	2132
204	548	2127
205	550	2123
206	554	2125
207	557	2121
208	559	2117
209	561	2112
210	563	2107
211	565	2103
212	569	2103
213	571	2098
214	573	2093
215	575	2089
216	578	2085
217	580	2080
218	582	2076
219	585	2077
220	588	2073
221	590	2068
222	592	2063
223	594	2059
224	596	2054
225	598	2051
226	600	2045
227	602	2041
228	605	2037
229	607	2033
230	609	2029
231	612	2026
232	614	2022
233	616	2018
234	618	2013
235	620	2009
236	623	2006
237	625	2001
238	627	1997
239	629	1994
240	631	1989
241	634	1986
242	636	1982
243	638	1977
244	640	1974
245	642	1970
246	644	1966
247	647	1962
248	649	1959
249	651	1955
250	653	1951
251	656	1947
252	658	1942
253	660	1938
254	662	1935
255	664	1931
256	666	1927
257	669	1924
258	670	1919
259	672	1914
260	674	1911
261	677	1908
262	679	1904
263	682	1901
264	684	1898
265	686	1895
266	688	1891
267	691	1887
268	693	1883
269	695	1880
270	698	1878
271	700	1875
272	703	1873
273	705	1869
274	707	1866
275	710	1863
276	712	1859
277	714	1855
278	716	1850
279	718	1847
280	720	1843
281	722	1840
282	725	1836
283	727	1834
284	729	1831
285	732	1827
286	734	1824
287	736	1820
288	738	1817
289	740	1813
290	742	1810
291	745	1806
292	748	1805
293	749	1799
294	751	1795
295	753	1791
296	755	1787
297	758	1785
298	760	1782
299	762	1779
300	764	1775
301	766	1772
302	768	1767
303	770	1764
304	772	1760
305	776	1760
306	778	1757
307	780	1754
308	783	1751
309	785	1748
310	787	1744
311	789	1741
312	791	1738
313	793	1734
314	796	1731
315	798	1727
316	800	1724
317	802	1721
318	804	1718
319	806	1714
320	809	1712
321	811	1709
322	813	1704
323	815	1700
324	817	1697
325	819	1694
326	822	1691
327	824	1689
328	826	1686
329	828	1682
330	830	1679
331	832	1675
332	835	1672
333	837	1669
334	839	1666
335	841	1662
336	843	1660
337	846	1657
338	848	1654
339	850	1651
340	853	1649
341	855	1646
342	857	1642
343	860	1640
344	862	1637
345	864	1634
346	866	1631
347	868	1628
348	871	1624
349	873	1622
350	875	1619
351	877	1616
352	880	1613
353	882	1610
354	884	1607
355	886	1603
356	888	1600
357	890	1597
358	893	1595
359	896	1593
360	898	1589
361	900	1586
362	902	1583
363	904	1580
364	906	1577
365	908	1574
366	911	1571
367	913	1568
368	915	1565
369	917	1562
370	919	1559
371	921	1556
372	924	1554
373	926	1551
374	928	1548
375	930	1545
376	933	1541
377	935	1539
378	937	1536
379	939	1533
380	941	1530
381	944	1527
382	946	1524
383	948	1521
384	950	1518
385	952	1515
386	955	1512
387	957	1510
388	960	1508
389	962	1505
390	964	1502
391	966	1499
392	969	1496
393	971	1493
394	974	1492
395	976	1489
396	978	1486
397	980	1483
398	983	1481
399	986	1479
400	988	1476
401	990	1473
402	992	1470
403	994	1467
404	996	1464
405	998	1461
406	1001	1458
407	1003	1455
408	1005	1452
409	1007	1449
410	1009	1446
411	1011	1443
412	1013	1440
413	1015	1437
414	1017	1434
415	1020	1432
416	1022	1429
417	1024	1426
418	1026	1423
419	1028	1420
420	1031	1418
421	1033	1415
422	1035	1412
423	1037	1408
424	1039	1405
425	1041	1402
426	1043	1399
427	1045	1397
428	1047	1394
429	1049	1391
430	1051	1388
431	1053	1385
432	1055	1382
433	1058	1379
434	1060	1376
435	1062	1374
436	1064	1371
437	1066	1368
438	1069	1366
439	1071	1363
440	1073	1360
441	1076	1358
442	1078	1355
443	1080	1353
444	1082	1350
445	1084	1347
446	1086	1344
447	1089	1341
448	1091	1339
449	1093	1336
450	1095	1333
451	1097	1330
452	1099	1327
453	1101	1325
454	1103	1322
455	1105	1319
456	1107	1316
457	1110	1313
458	1112	1310
459	1114	1307
460	1116	1305
461	1118	1302
462	1120	1299
463	1122	1296
464	1124	1293
465	1126	1290
466	1128	1287
467	1130	1285
468	1132	1282
469	1134	1279
470	1136	1276
471	1139	1274
472	1141	1271
473	1143	1268
474	1145	1265
475	1147	1263
476	1149	1260
477	1151	1257
478	1153	1254
479	1155	1251
480	1157	1248
481	1159	1246
482	1161	1243
483	1163	1240
484	1165	1237
485	1167	1235
486	1170	1232
487	1172	1229
488	1174	1227
489	1176	1224
490	1178	1221
491	1180	1219
492	1183	1216
493	1185	1213
494	1187	1211
495	1189	1208
496	1191	1206
497	1193	1203
498	1196	1200
499	1198	1198
500	1200	1195
501	1202	1192
502	1204	1190
503	1206	1187
504	1208	1184
505	1211	1182
506	1213	1179
507	1215	1177
508	1217	1174
509	1220	1172
510	1222	1169
511	1224	1167
512	1227	1165
513	1230	1163
514	1232	1160
515	1234	1157
516	1236	1155
517	1238	1152
518	1241	1150
519	1243	1148
520	1246	1145
521	1248	1142
522	1250	1140
523	1252	1137
524	1255	1135
525	1257	1132
526	1259	1130
527	1261	1127
528	1263	1125
529	1266	1122
530	1268	1120
531	1270	1117
532	1272	1115
533	1274	1112
534	1276	1109
535	1279	1107
536	1281	1105
537	1284	1102
538	1287	1100
539	1288	1098
540	1291	1095
541	1293	1092
542	1295	1090
543	1297	1087
544	1299	1085
545	1301	1082
546	1303	1079
547	1305	1077
548	1308	1074
549	1310	1072
550	1313	1070
551	1315	1067
552	1317	1064
553	1319	1062
554	1321	1059
555	1324	1057
556	1326	1054
557	1328	1052
558	1330	1049
559	1332	1046
560	1334	1044
561	1337	1042
562	1339	1039
563	1341	1037
564	1343	1034
565	1346	1032
566	1348	1029
567	1350	1027
568	1352	1024
569	1354	1021
570	1356	1019
571	1358	1016
572	1360	1014
573	1363	1011
574	1365	1009
575	1367	1006
576	1369	1004
577	1371	1001
578	1373	999
579	1376	996
580	1378	993
581	1380	991
582	1382	988
583	1384	986
584	1386	983
585	1388	981
586	1391	978
587	1393	976
588	1395	973
589	1397	971
590	1399	968
591	1402	966
592	1404	963
593	1406	961
594	1408	958
595	1411	956
596	1413	954
597	1415	951
